source_row_index,filtered_row_index,op_id,_oil_norm,Bezeichnung,Drehzahl,Ölbezeichnung,Kältemittel,T1_SH,T_evap,T_cond,N,P1_mean,P2_mean,T1_mean,T2_mean,T7_mean,Tamb_mean,Pel_mean,suction_mf_mean
70,68,N60_SH10_Te20_Tc40,LPG100,T2s40_10SH,60.0,LPG100,Propan,10.0,20.0,40.0,3608.9,8.32058,13.7284,30.1335,55.9763,51.972,25.0565,1160.83,29.6475
7,7,N60_SH10_Te20_Tc40,LPG68,T2s40_10SH,60.0,LPG68,Propan,10.0,20.0,40.0,3608.9,8.39389,13.6998,29.9919,55.4081,50.9747,20.8887,1139.59,30.0183
71,69,N60_SH10_Te25_Tc40,LPG100,T2s40_10SH,60.0,LPG100,Propan,10.0,25.0,40.0,3608.9,9.44479,13.7367,34.9748,54.7194,51.1434,25.1102,1026.29,33.8647
8,8,N60_SH10_Te25_Tc40,LPG68,T2s40_10SH,60.0,LPG68,Propan,10.0,25.0,40.0,3608.9,9.38441,13.7072,35.3264,55.5273,51.2892,21.0484,1027.27,33.6089
72,70,N60_SH10_Te0_Tc50,LPG100,T2s50_10SH,60.0,LPG100,Propan,10.0,0.0,50.0,3608.9,4.74132,17.2038,10.6002,74.3115,67.7297,27.3492,1643.22,16.4516
9,9,N60_SH10_Te0_Tc50,LPG68,T2S50_10SH,60.0,LPG68,Propan,10.0,0.0,50.0,3608.9,4.75311,17.1935,9.9048,72.8888,66.769,26.2379,1625.09,16.4602
73,71,N60_SH10_Te5_Tc50,LPG100,T2s50_10SH,60.0,LPG100,Propan,10.0,5.0,50.0,3608.9,5.49214,17.19,16.26,73.0586,67.1166,27.8347,1652.96,18.9005
10,10,N60_SH10_Te5_Tc50,LPG68,T2S50_10SH,60.0,LPG68,Propan,10.0,5.0,50.0,3608.9,5.53394,17.2024,14.5325,70.6471,65.3187,27.3065,1641.16,19.2189
74,72,N60_SH10_Te10_Tc50,LPG100,T2s50_10SH,60.0,LPG100,Propan,10.0,10.0,50.0,3608.9,6.34577,17.1962,19.9515,69.6603,64.1854,27.7823,1642.93,22.1238
11,11,N60_SH10_Te10_Tc50,LPG68,T2S50_10SH,60.0,LPG68,Propan,10.0,10.0,50.0,3608.9,6.39275,17.1276,20.6983,69.1915,63.4953,26.7675,1618.66,22.1482
75,73,N60_SH10_Te15_Tc50,LPG100,T2s50_10SH,60.0,LPG100,Propan,10.0,15.0,50.0,3608.9,7.27,17.2144,26.1087,68.7849,63.3767,27.7379,1611.35,25.2562
12,12,N60_SH10_Te15_Tc50,LPG68,T2S50_10SH,60.0,LPG68,Propan,10.0,15.0,50.0,3608.9,7.28526,17.1941,24.6838,66.8215,62.1338,26.504,1587.98,25.5488
76,74,N60_SH10_Te20_Tc50,LPG100,T2s50_10SH,60.0,LPG100,Propan,10.0,20.0,50.0,3608.9,8.38018,17.2262,29.9395,66.4402,61.6336,27.7621,1545.58,29.5403
13,13,N60_SH10_Te20_Tc50,LPG68,T2S50_10SH,60.0,LPG68,Propan,10.0,20.0,50.0,3608.9,8.37978,17.2361,30.7662,66.4899,62.0329,26.8575,1524.13,29.5286
77,75,N60_SH10_Te25_Tc50,LPG100,T2s50_10SH,60.0,LPG100,Propan,10.0,25.0,50.0,3608.9,9.35432,17.2073,35.7038,65.6828,60.9168,27.8199,1467.96,33.0233
14,14,N60_SH10_Te25_Tc50,LPG68,T2S50_10SH,60.0,LPG68,Propan,10.0,25.0,50.0,3608.9,9.42186,17.1474,36.6651,67.4533,62.6252,27.0901,1446.86,33.173
84,82,N60_SH20_Te0_Tc50,LPG100,T2s50_20SH,60.0,LPG100,Propan,20.0,0.0,50.0,3608.9,4.6892,17.1753,19.4663,81.5771,74.2671,28.0788,1636.87,15.421
21,21,N60_SH20_Te0_Tc50,LPG68,T2s50_20SH,60.0,LPG68,Propan,20.0,0.0,50.0,3608.9,4.73894,17.1369,20.6698,81.8407,74.4012,27.8441,1628.12,15.6205
85,83,N60_SH20_Te10_Tc50,LPG100,T2s50_20SH,60.0,LPG100,Propan,20.0,10.0,50.0,3608.9,6.34628,17.1982,29.7049,77.284,70.2356,26.8063,1644.22,21.1256
22,22,N60_SH20_Te10_Tc50,LPG68,T2s50_20SH,60.0,LPG68,Propan,20.0,10.0,50.0,3608.9,6.36114,17.1379,30.159,78.1035,71.4997,28.7935,1636.07,21.0768
86,84,N60_SH20_Te20_Tc50,LPG100,T2s50_20SH,60.0,LPG100,Propan,20.0,20.0,50.0,3608.9,8.31678,17.2186,40.8427,76.6938,70.2524,27.3502,1555.8,27.8063
23,23,N60_SH20_Te20_Tc50,LPG68,T2s50_20SH,60.0,LPG68,Propan,20.0,20.0,50.0,3608.9,8.34649,17.1632,40.0268,74.9246,68.7317,28.9543,1540.55,28.0766
90,88,N60_SH30_Te0_Tc50,LPG100,T2s50_30SH,60.0,LPG100,Propan,30.0,0.0,50.0,3608.9,4.75725,17.1867,28.7228,89.7019,82.2517,29.3829,1611.33,15.4817
27,27,N60_SH30_Te0_Tc50,LPG68,T2s50_30SH,60.0,LPG68,Propan,30.0,0.0,50.0,3608.9,4.76698,17.2159,29.7937,89.7342,81.8013,29.7151,1621.6,15.0627
91,89,N60_SH30_Te10_Tc50,LPG100,T2s50_30SH,60.0,LPG100,Propan,30.0,10.0,50.0,3608.9,6.34588,17.1857,41.2333,88.4392,80.8714,30.1813,1627.08,20.2014
28,28,N60_SH30_Te10_Tc50,LPG68,T2s50_30SH,60.0,LPG68,Propan,30.0,10.0,50.0,3608.9,6.37078,17.1567,39.4937,85.6438,77.7772,29.5806,1628.71,20.3035
92,90,N60_SH30_Te20_Tc50,LPG100,T2s50_30SH,60.0,LPG100,Propan,30.0,20.0,50.0,3608.9,8.37903,17.2138,49.9756,83.2085,75.1839,28.0563,1541.36,26.9469
29,29,N60_SH30_Te20_Tc50,LPG68,T2s50_30SH,60.0,LPG68,Propan,30.0,20.0,50.0,3608.9,8.44081,17.1766,50.6324,83.7169,75.9175,29.8132,1540.22,27.0184
78,76,N60_SH10_Te0_Tc60,LPG100,T2s60_10SH,60.0,LPG100,Propan,10.0,0.0,60.0,3608.9,4.71028,21.268,10.2428,84.6276,77.4386,28.5408,1885.59,15.8592
15,15,N60_SH10_Te0_Tc60,LPG68,T2s60_10SH,60.0,LPG68,Propan,10.0,0.0,60.0,3608.9,4.75998,21.2214,10.0578,83.4518,77.3054,24.754,1883.77,16.0946
79,77,N60_SH10_Te5_Tc60,LPG100,T2s60_10SH,60.0,LPG100,Propan,10.0,5.0,60.0,3608.9,5.48294,21.2279,14.5305,81.787,75.3122,29.0013,1918.58,18.7327
16,16,N60_SH10_Te5_Tc60,LPG68,T2s60_10SH,60.0,LPG68,Propan,10.0,5.0,60.0,3608.9,5.47093,21.2197,14.6078,81.4971,75.8775,26.4879,1922.46,18.5994
80,78,N60_SH10_Te10_Tc60,LPG100,T2s60_10SH,60.0,LPG100,Propan,10.0,10.0,60.0,3608.9,6.35099,21.2144,20.793,80.3434,74.2362,28.8952,1940.36,21.8274
17,17,N60_SH10_Te10_Tc60,LPG68,T2s60_10SH,60.0,LPG68,Propan,10.0,10.0,60.0,3608.9,6.33767,21.2408,20.1467,80.3724,74.7799,26.8024,1944.61,21.6908
81,79,N60_SH10_Te15_Tc60,LPG100,T2s60_10SH,60.0,LPG100,Propan,10.0,15.0,60.0,3608.9,7.30437,21.2177,24.8096,77.6093,72.2261,29.1438,1949.63,25.6164
18,18,N60_SH10_Te15_Tc60,LPG68,T2s60_10SH,60.0,LPG68,Propan,10.0,15.0,60.0,3608.9,7.28752,21.1725,24.8711,77.683,73.2058,27.1922,1943.15,25.1205
