gen,best_err_so_far,Ua_suc_ref,Ua_dis_ref,Ua_amb,A_tot,A_dis,V_IC,alpha_loss,W_dot_loss_ref,alpha_fric_tot,m_dot_oil_ref,Ua_suc_oil_ref
10,0.22718957737299045,34.40763897726541,11.800557061183406,1.0417907368822357,2.792991402502078e-07,0.00012884815262350884,2.8214628591964007e-05,0.21672963097142223,78.7970165286453,1057.1213875598874,9.592426711655079e-05,3.1907233488715856
20,0.19683988789791548,34.40763897726541,10.589328959179253,1.0417907368822357,2.792991402502078e-07,9.726073206000059e-06,2.8214628591964007e-05,0.24414852910944657,78.7970165286453,1008.2855620793205,0.00035629811150071286,26.369665680090645
30,0.19129677628730404,29.9983558398704,10.589328959179253,0.6476436231567356,2.792991402502078e-07,9.726073206000059e-06,2.8214628591964007e-05,0.25669233771748656,78.7970165286453,747.8037952955871,0.0002043340805990722,12.216518208706564
40,0.1869626307044098,29.9983558398704,10.589328959179253,1.4244245484562426,2.792991402502078e-07,2.5559898633233483e-05,2.8214628591964007e-05,0.24073489257985636,78.7970165286453,747.8037952955871,5.466979062859539e-05,12.216518208706564
50,0.186805306074452,29.9983558398704,10.589328959179253,0.7066190835779337,2.541764054093597e-07,9.726073206000059e-06,2.8214628591964007e-05,0.24073489257985636,78.7970165286453,856.099009147684,5.1795022085734854e-05,2.9558109175887193
60,0.18569157570262282,29.9983558398704,10.589328959179253,2.4019518603860726,2.792991402502078e-07,0.00010530758693713015,2.8214628591964007e-05,0.25349206189962414,78.7970165286453,800.6939163050753,0.00011472469351106834,12.216518208706564
70,0.18533877080175326,29.9983558398704,10.589328959179253,0.7066190835779337,2.5172628579339873e-07,5.10839375649227e-05,2.8214628591964007e-05,0.24852218076331523,78.7970165286453,856.099009147684,0.0001108919004650075,8.802930564481166
80,0.18499337929227536,29.9983558398704,10.589328959179253,1.4244245484562426,2.792991402502078e-07,0.00016924267187643549,2.8214628591964007e-05,0.25669233771748656,66.30811125358026,903.4220348398035,5.1795022085734854e-05,29.23824358178987
90,0.18499337929227536,29.9983558398704,10.589328959179253,1.4244245484562426,2.792991402502078e-07,0.00016924267187643549,2.8214628591964007e-05,0.25669233771748656,66.30811125358026,903.4220348398035,5.1795022085734854e-05,29.23824358178987
100,0.18499337929227536,29.9983558398704,10.589328959179253,1.4244245484562426,2.792991402502078e-07,0.00016924267187643549,2.8214628591964007e-05,0.25669233771748656,66.30811125358026,903.4220348398035,5.1795022085734854e-05,29.23824358178987
110,0.18418210631329182,29.9983558398704,10.589328959179253,1.4244245484562426,2.792991402502078e-07,5.10839375649227e-05,2.8214628591964007e-05,0.25669233771748656,66.30811125358026,903.4220348398035,0.0001216807681646293,29.23824358178987
