gen,best_err_so_far,Ua_suc_ref,Ua_dis_ref,Ua_amb,A_tot,A_dis,V_IC,alpha_loss,W_dot_loss_ref,alpha_fric_tot,m_dot_oil_ref,Ua_suc_oil_ref
10,0.3932043920451523,30.7464,9.92998,0.267999,2.62872e-07,3.3413207653769634e-05,2.81943e-05,0.26596491613667134,63.14664901476131,1159.0127914668697,0.000672299,11.794941021692548
20,0.3932043920451523,30.7464,9.92998,0.267999,2.62872e-07,3.3413207653769634e-05,2.81943e-05,0.26596491613667134,63.14664901476131,1159.0127914668697,0.000672299,11.794941021692548
30,0.39242836704794043,30.7464,10.594768904702638,2.4629733241754677,2.8743234536628787e-07,0.00010823488116615138,2.81943e-05,0.281808,50.52382906608679,1088.5208755382923,0.0001986322127789432,10.62238407853484
40,0.38861194292576556,30.7464,9.92998,1.3076195524530212,2.62872e-07,0.00018900348014342156,2.81943e-05,0.26596491613667134,60.84538568733151,1132.855285071731,0.000672299,5.755717612962012
50,0.38780148717521773,30.7464,9.92998,1.9280610436907626,2.62872e-07,5.440596623601531e-05,2.81943e-05,0.27279090773357384,50.11837713427832,1159.0127914668697,0.00040033655474642696,26.482083956893252
60,0.3872129356932509,30.7464,10.594768904702638,0.2656482537205247,2.62872e-07,1.5994558596623783e-05,2.81943e-05,0.281808,44.853042375117404,1122.6764115236174,0.00012398251791353941,11.794941021692548
70,0.3850167325185854,30.7464,9.92998,2.8131063842165838,2.62872e-07,5.994193733444377e-05,2.81943e-05,0.281808,50.52382906608679,1122.6764115236174,0.0001710373739452556,10.62238407853484
80,0.3850167325185854,30.7464,9.92998,2.8131063842165838,2.62872e-07,5.994193733444377e-05,2.81943e-05,0.281808,50.52382906608679,1122.6764115236174,0.0001710373739452556,10.62238407853484
90,0.38476119132643094,29.715309215377808,10.594768904702638,2.8131063842165838,2.62872e-07,0.00010823488116615138,2.81943e-05,0.29077411728245667,46.059647259189724,1088.5208755382923,5.978728271348045e-05,10.62238407853484
100,0.38476119132643094,29.715309215377808,10.594768904702638,2.8131063842165838,2.62872e-07,0.00010823488116615138,2.81943e-05,0.29077411728245667,46.059647259189724,1088.5208755382923,5.978728271348045e-05,10.62238407853484
110,0.38476119132643094,29.715309215377808,10.594768904702638,2.8131063842165838,2.62872e-07,0.00010823488116615138,2.81943e-05,0.29077411728245667,46.059647259189724,1088.5208755382923,5.978728271348045e-05,10.62238407853484
120,0.38476119132643094,29.715309215377808,10.594768904702638,2.8131063842165838,2.62872e-07,0.00010823488116615138,2.81943e-05,0.29077411728245667,46.059647259189724,1088.5208755382923,5.978728271348045e-05,10.62238407853484
130,0.38282907927146226,30.7464,10.4535021827792,2.8131063842165838,2.62872e-07,7.053140320936303e-05,2.81943e-05,0.281808,44.853042375117404,1122.6764115236174,6.237588098083747e-05,20.502373117375093
140,0.38282907927146226,30.7464,10.4535021827792,2.8131063842165838,2.62872e-07,7.053140320936303e-05,2.81943e-05,0.281808,44.853042375117404,1122.6764115236174,6.237588098083747e-05,20.502373117375093
150,0.38163411990867807,29.670126748341197,10.4535021827792,1.528770809115901,2.62872e-07,5.807984556510125e-05,2.81943e-05,0.28439643926577773,44.853042375117404,1122.6764115236174,6.152867211677386e-05,8.33054220421622
160,0.38163411990867807,29.670126748341197,10.4535021827792,1.528770809115901,2.62872e-07,5.807984556510125e-05,2.81943e-05,0.28439643926577773,44.853042375117404,1122.6764115236174,6.152867211677386e-05,8.33054220421622
170,0.38163411990867807,29.670126748341197,10.4535021827792,1.528770809115901,2.62872e-07,5.807984556510125e-05,2.81943e-05,0.28439643926577773,44.853042375117404,1122.6764115236174,6.152867211677386e-05,8.33054220421622
180,0.38159059334863316,30.7464,10.4535021827792,1.8710728009938324,2.62872e-07,7.053140320936303e-05,2.81943e-05,0.281808,44.853042375117404,1122.6764115236174,6.237588098083747e-05,16.561245867612442
190,0.38159059334863316,30.7464,10.4535021827792,1.8710728009938324,2.62872e-07,7.053140320936303e-05,2.81943e-05,0.281808,44.853042375117404,1122.6764115236174,6.237588098083747e-05,16.561245867612442
200,0.37986525233105023,30.7464,10.4535021827792,0.9360396887134246,2.62872e-07,7.053140320936303e-05,2.81943e-05,0.281808,44.853042375117404,1133.6919781394024,6.237588098083747e-05,3.7123442750676805
210,0.37986525233105023,30.7464,10.4535021827792,0.9360396887134246,2.62872e-07,7.053140320936303e-05,2.81943e-05,0.281808,44.853042375117404,1133.6919781394024,6.237588098083747e-05,3.7123442750676805
220,0.37986525233105023,30.7464,10.4535021827792,0.9360396887134246,2.62872e-07,7.053140320936303e-05,2.81943e-05,0.281808,44.853042375117404,1133.6919781394024,6.237588098083747e-05,3.7123442750676805
230,0.37986525233105023,30.7464,10.4535021827792,0.9360396887134246,2.62872e-07,7.053140320936303e-05,2.81943e-05,0.281808,44.853042375117404,1133.6919781394024,6.237588098083747e-05,3.7123442750676805
240,0.37986525233105023,30.7464,10.4535021827792,0.9360396887134246,2.62872e-07,7.053140320936303e-05,2.81943e-05,0.281808,44.853042375117404,1133.6919781394024,6.237588098083747e-05,3.7123442750676805
250,0.37986525233105023,30.7464,10.4535021827792,0.9360396887134246,2.62872e-07,7.053140320936303e-05,2.81943e-05,0.281808,44.853042375117404,1133.6919781394024,6.237588098083747e-05,3.7123442750676805
