gen,best_err_so_far,Ua_suc_ref,Ua_dis_ref,Ua_amb,A_tot,A_dis,V_IC,alpha_loss,W_dot_loss_ref
10,0.10212576656720991,46.44247593020086,5.245827169933944,1.071027194723379,1.252329768808776e-07,0.0002018962549281201,3.077024821887051e-05,0.14609998749415215,106.49543423196108
20,0.09446665176720995,52.09123413441729,4.685623491699221,1.6368660228832979,1.252329768808776e-07,0.00033799785788205227,3.077024821887051e-05,0.15663421131389327,90.11326826501877
30,0.090983294515116,52.09123413441729,4.685623491699221,0.2754711343806986,1.252329768808776e-07,0.0004381099810955389,3.077024821887051e-05,0.15663421131389327,90.11326826501877
40,0.08609829224474548,35.71852287195782,5.011991728166704,2.1230000001461202,1.252329768808776e-07,0.0004615379473781341,3.077024821887051e-05,0.15663421131389327,96.80464799102263
50,0.08362133087594245,36.65241714424142,5.011991728166704,1.347095306980256,1.252329768808776e-07,0.0004615379473781341,3.077024821887051e-05,0.15663421131389327,96.80464799102263
60,0.08174017556199928,29.59338860768271,5.011991728166704,2.3938883965512665,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.14709885381301335,96.80464799102263
70,0.08174017556199928,29.59338860768271,5.011991728166704,2.3938883965512665,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.14709885381301335,96.80464799102263
80,0.08093200946257939,29.59338860768271,5.011991728166704,0.1547170126266193,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.1494379913539501,97.73289191395062
90,0.08093200946257939,29.59338860768271,5.011991728166704,0.1547170126266193,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.1494379913539501,97.73289191395062
100,0.0785208177338472,29.59338860768271,5.011991728166704,1.2461481343840366,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.15663421131389327,96.80464799102263
110,0.0785208177338472,29.59338860768271,5.011991728166704,1.2461481343840366,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.15663421131389327,96.80464799102263
120,0.0785208177338472,29.59338860768271,5.011991728166704,1.2461481343840366,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.15663421131389327,96.80464799102263
130,0.0785208177338472,29.59338860768271,5.011991728166704,1.2461481343840366,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.15663421131389327,96.80464799102263
140,0.0785208177338472,29.59338860768271,5.011991728166704,1.2461481343840366,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.15663421131389327,96.80464799102263
150,0.0785208177338472,29.59338860768271,5.011991728166704,1.2461481343840366,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.15663421131389327,96.80464799102263
160,0.0785208177338472,29.59338860768271,5.011991728166704,1.2461481343840366,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.15663421131389327,96.80464799102263
170,0.0785208177338472,29.59338860768271,5.011991728166704,1.2461481343840366,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.15663421131389327,96.80464799102263
180,0.0785208177338472,29.59338860768271,5.011991728166704,1.2461481343840366,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.15663421131389327,96.80464799102263
190,0.0785208177338472,29.59338860768271,5.011991728166704,1.2461481343840366,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.15663421131389327,96.80464799102263
200,0.0785208177338472,29.59338860768271,5.011991728166704,1.2461481343840366,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.15663421131389327,96.80464799102263
210,0.0785208177338472,29.59338860768271,5.011991728166704,1.2461481343840366,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.15663421131389327,96.80464799102263
220,0.0785208177338472,29.59338860768271,5.011991728166704,1.2461481343840366,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.15663421131389327,96.80464799102263
230,0.0785208177338472,29.59338860768271,5.011991728166704,1.2461481343840366,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.15663421131389327,96.80464799102263
240,0.0785208177338472,29.59338860768271,5.011991728166704,1.2461481343840366,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.15663421131389327,96.80464799102263
250,0.0785208177338472,29.59338860768271,5.011991728166704,1.2461481343840366,1.252329768808776e-07,0.0004333824839328524,3.077024821887051e-05,0.15663421131389327,96.80464799102263
