alpha_loss,W_dot_loss_ref
0.1,10.0
0.1,19.193831036664843
0.1,36.84031498640386
0.1,70.71067811865476
0.1,135.7208808297453
0.1,260.50036547934565
0.1,499.99999999999994
0.15000000000000002,10.0
0.15000000000000002,19.193831036664843
0.15000000000000002,36.84031498640386
0.15000000000000002,70.71067811865476
0.15000000000000002,135.7208808297453
0.15000000000000002,260.50036547934565
0.15000000000000002,499.99999999999994
0.2,10.0
0.2,19.193831036664843
0.2,36.84031498640386
0.2,70.71067811865476
0.2,135.7208808297453
0.2,260.50036547934565
0.2,499.99999999999994
0.25,10.0
0.25,19.193831036664843
0.25,36.84031498640386
0.25,70.71067811865476
0.25,135.7208808297453
0.25,260.50036547934565
0.25,499.99999999999994
0.30000000000000004,10.0
0.30000000000000004,19.193831036664843
0.30000000000000004,36.84031498640386
0.30000000000000004,70.71067811865476
0.30000000000000004,135.7208808297453
0.30000000000000004,260.50036547934565
0.30000000000000004,499.99999999999994
0.3500000000000001,10.0
0.3500000000000001,19.193831036664843
0.3500000000000001,36.84031498640386
0.3500000000000001,70.71067811865476
0.3500000000000001,135.7208808297453
0.3500000000000001,260.50036547934565
0.3500000000000001,499.99999999999994
0.4,10.0
0.4,19.193831036664843
0.4,36.84031498640386
0.4,70.71067811865476
0.4,135.7208808297453
0.4,260.50036547934565
0.4,499.99999999999994
