LPG100/LPG68;R290 (Propan);in bar;in ℃;in bar;in ℃;in ℃;in g/s;in W;in 1/min;in mPas
Ölbezeichnung;Kältemittel;P1_mean;T1_mean;P2_mean;Tamb_mean;T2_mean;suction_mf_mean;Pel_mean;N;dyn_viscosity_mean
LPG68;R290;5,4715;15,1424;13,7062;26,3777;61,3275;22,4913;1564,67;4209,79;9,08431
LPG68;R290;6,3016;20,3583;13,7316;26,75;59,882;25,9291;1524,29;4209,79;8,84627
LPG68;R290;7,28787;24,9045;13,7411;27;57,0672;30,2973;1443,75;4209,79;8,07354
LPG68;R290;8,17964;30,2259;13,6985;27,254;57,2094;34,0073;1351,51;4209,79;8,06611
LPG68;R290;9,44436;35,313;13,7246;27,625;55,093;39,6292;1188,29;4209,79;7,58792
;;;;;;;;;;
LPG68;R290;4,71181;10,3432;17,2042;27,1949;75,7456;18,9296;1925,7;4209,79;6,10421
LPG68;R290;5,47031;14,6144;17,2049;29,2473;71,2268;22,2631;1861,02;4209,79;5,43343
LPG68;R290;6,25191;20,5991;17,1869;29,379;70,7933;25,3072;1862,67;4209,79;5,42843
LPG68;R290;7,36136;25,8901;17,164;26,1103;68,2962;30,1301;1881,16;4209,79;5,1321
LPG68;R290;8,4339;29,4143;17,119;22,9798;66,0214;35,0366;1812,17;4209,79;4,51855
LPG68;R290;9,44774;34,0065;17,1805;24,4288;65,3761;39,4457;1723,97;4209,79;4,5439
;;;;;;;;;;
LPG68;R290;4,78747;9,86615;21,2104;29,4664;85,3274;19,0563;2198,36;4209,79;3,91558
LPG68;R290;5,47007;15,5808;21,1518;28,4624;83,7533;21,6663;2248,91;4209,79;3,82961
LPG68;R290;6,35795;19,8285;21,1432;28,7742;80,2384;25,5487;2280,95;4209,79;3,51838
LPG68;R290;7,30263;25,3639;21,163;28,9355;79,1923;29,7139;2279,2;4209,79;3,4041
LPG68;R290;8,33105;29,4061;21,1775;28,7621;76,748;34,5705;2261,69;4209,79;2,95507
LPG68;R290;9,47804;34,7635;21,2001;28,9429;76,1819;39,6077;2215,36;4209,79;2,90311
;;;;;;;;;;
LPG68;R290;4,77341;20,5634;17,1432;28,1684;83,7326;18,5894;1924,26;4209,79;6,23335
LPG68;R290;6,44475;31,3771;17,1738;26,7957;79,884;25,0873;1931,56;4209,79;6,18053
;;;;;;;;;;
LPG68;R290;4,79792;20,5102;21,154;31,0927;93,7563;18,1915;2198,62;4209,79;4,24789
LPG68;R290;6,39812;29,7276;21,3161;30,6371;88,2061;24,7191;2290,41;4209,79;4,03046
;;;;;;;;;;
LPG68;R290;4,78442;30,4968;17,1456;29,2812;91,82;17,663;1922,26;4209,79;6,04316
;;;;;;;;;;
LPG68;R290;4,76399;30,8311;21,1798;32,5027;102,029;17,3423;2192,79;4209,79;4,23402
LPG68;R290;6,35542;39,6685;21,1752;32,1008;97,2241;23,5618;2279,89;4209,79;4,27591
