Einheiten;1/s;LPG68/LPG100;Propan/R290;in K;in ℃;in ℃;in bar;in bar;in ℃;in bar;in bar;in ℃;in ℃;in ℃;in ℃;in W;in g/s;in 1/min
Bezeichnung;Drehzahl;Ölbezeichnung;Kältemittel;T1_SH;T_evap;T_cond;p1_SP;p2_SP_mean;T1_SP_mean;P1_mean;P2_mean;T1_mean;T2_mean;T7_mean;Tamb_mean;Pel_mean;suction_mf_mean;N
T2s30_10SH;70;LPG68;Propan;10;5;30;5,51075;10,7222;15,0347;5,50719;10,7134;14,6792;50,5768;46,1251;22,7997;1292,38;22,8425;4209,79
T2s30_10SH;70;LPG68;Propan;10;10;30;6,3545;10,7222;20,0695;6,34355;10,822;20,6687;49,4211;45,2379;22,2392;1215,82;26,344;4209,79
T2s40_10SH;70;LPG68;Propan;10;0;40;4,722;13,7222;10,0347;4,76048;13,6925;10,274;62,8672;56,0321;25,7487;1581,37;19,486;4209,79
T2s40_10SH;70;LPG68;Propan;10;5;40;5,50325;13,7222;15,0347;5,4715;13,7062;15,1424;61,3275;55,0442;26,3777;1564,67;22,4913;4209,79
T2s40_10SH;70;LPG68;Propan;10;10;40;6,347;13,7222;20,0695;6,3016;13,7316;20,3583;59,882;54,0018;26,75;1524,29;25,9291;4209,79
T2s40_10SH;70;LPG68;Propan;10;15;40;7,31575;13,7222;25,0695;7,28787;13,7411;24,9045;57,0672;51,5189;27;1443,75;30,2973;4209,79
T2s40_10SH;70;LPG68;Propan;10;20;40;8,319;13,7222;30,0695;8,17964;13,6985;30,2259;57,2094;51,9326;27,254;1351,51;34,0073;4209,79
T2s40_10SH;70;LPG68;Propan;10;25;40;9,5065;13,7222;35,139;9,44436;13,7246;35,313;55,093;50,7267;27,625;1188,29;39,6292;4209,79
T2S50_10SH;70;LPG68;Propan;10;0;50;4,72075;17,1945;10,0347;4,71181;17,2042;10,3432;75,7456;69,4445;27,1949;1925,7;18,9296;4209,79
T2S50_10SH;70;LPG68;Propan;10;5;50;5,502;17,1945;15,0347;5,47031;17,2049;14,6144;71,2268;64,2419;29,2473;1861,02;22,2631;4209,79
T2S50_10SH;70;LPG68;Propan;10;10;50;6,34575;17,1945;20,0695;6,25191;17,1869;20,5991;70,7933;64,2153;29,379;1862,67;25,3072;4209,79
T2S50_10SH;70;LPG68;Propan;10;15;50;7,3145;17,1945;25,0695;7,36136;17,164;25,8901;68,2962;63,1222;26,1103;1881,16;30,1301;4209,79
T2S50_10SH;70;LPG68;Propan;10;20;50;8,3165;17,1945;30,0695;8,4339;17,119;29,4143;66,0214;61,0487;22,9798;1812,17;35,0366;4209,79
T2S50_10SH;70;LPG68;Propan;10;25;50;9,504;17,1945;35,139;9,44774;17,1805;34,0065;65,3761;61,1373;24,4288;1723,97;39,4457;4209,79
T2s60_10SH;70;LPG68;Propan;10;0;60;4,7295;21,1945;10,0347;4,78747;21,2104;9,86615;85,3274;78,2566;29,4664;2198,36;19,0563;4209,79
T2s60_10SH;70;LPG68;Propan;10;5;60;5,51075;21,1945;15,0347;5,47007;21,1518;15,5808;83,7533;77,7593;28,4624;2248,91;21,6663;4209,79
T2s60_10SH;70;LPG68;Propan;10;10;60;6,3545;21,1945;20,0695;6,35795;21,1432;19,8285;80,2384;75,0486;28,7742;2280,95;25,5487;4209,79
T2s60_10SH;70;LPG68;Propan;10;15;60;7,32325;21,1945;25,0695;7,30263;21,163;25,3639;79,1923;74,2015;28,9355;2279,2;29,7139;4209,79
T2s60_10SH;70;LPG68;Propan;10;20;60;8,334;21,1945;30,0695;8,33105;21,1775;29,4061;76,748;71,4463;28,7621;2261,69;34,5705;4209,79
T2s60_10SH;70;LPG68;Propan;10;25;60;9,5215;21,1945;35,139;9,47804;21,2001;34,7635;76,1819;71,1697;28,9429;2215,36;39,6077;4209,79
T2s50_20SH;70;LPG68;Propan;20;0;50;4,736;17,1945;20,0695;4,77341;17,1432;20,5634;83,7326;75,8915;28,1684;1924,26;18,5894;4209,79
T2s50_20SH;70;LPG68;Propan;20;10;50;6,34575;17,1945;30,0695;6,44475;17,1738;31,3771;79,884;72,7577;26,7957;1931,56;25,0873;4209,79
T2s60_20SH;70;LPG68;Propan;20;0;60;4,7295;21,1945;20,0695;4,79792;21,154;20,5102;93,7563;86,2692;31,0927;2198,62;18,1915;4209,79
T2s60_20SH;70;LPG68;Propan;20;10;60;6,3545;21,1945;30,0695;6,39812;21,3161;29,7276;88,2061;81,408;30,6371;2290,41;24,7191;4209,79
T2s50_30SH;70;LPG68;Propan;30;0;50;4,736;17,1945;30,0695;4,78442;17,1456;30,4968;91,82;83,3041;29,2812;1922,26;17,663;4209,79
T2s60_30SH;70;LPG68;Propan;30;0;60;4,7295;21,1945;30,0695;4,76399;21,1798;30,8311;102,029;93,6437;32,5027;2192,79;17,3423;4209,79
T2s60_30SH;70;LPG68;Propan;30;10;60;6,3545;21,1945;40,139;6,35542;21,1752;39,6685;97,2241;89,6504;32,1008;2279,89;23,5618;4209,79
;;;;;;;;;;;;;;;;;;
T2s30_10SH;60;LPG100;Propan;10;0;30;4,73875;10,7847;10,0347;4,76959;10,7592;10,8226;52,7122;47,763;21,9302;1171,49;16,6783;3608,9
T2s30_10SH;60;LPG100;Propan;10;5;30;5,52;10,7847;15,0347;5,5202;10,7656;14,9478;51,212;46,9559;22,3649;1117,24;19,4483;3608,9
T2s30_10SH;60;LPG100;Propan;10;10;30;6,36375;10,7847;20,0695;6,36469;10,7816;19,9084;48,9181;44,9898;22,6036;1035,76;22,5438;3608,9
T2s40_10SH;60;LPG100;Propan;10;0;40;4,722;13,7222;10,0347;4,72415;13,7353;10,5639;63,3633;58,114;24,6156;1389,42;16,6727;3608,9
T2s40_10SH;60;LPG100;Propan;10;5;40;5,50325;13,7222;15,0347;5,50345;13,7465;14,622;60,7645;55,6803;24,8952;1374,86;19,3641;3608,9
T2s40_10SH;60;LPG100;Propan;10;10;40;6,347;13,7222;20,0695;6,34654;13,6949;20,0064;59,007;54,2694;24,8984;1330,41;22,4046;3608,9
T2s40_10SH;60;LPG100;Propan;10;15;40;7,31575;13,7222;25,0695;7,28593;13,7131;25,4255;57,7566;53,2875;25,0685;1263,22;25,6962;3608,9
T2s40_10SH;60;LPG100;Propan;10;20;40;8,319;13,7222;30,0695;8,32058;13,7284;30,1335;55,9763;51,972;25,0565;1160,83;29,6475;3608,9
T2s40_10SH;60;LPG100;Propan;10;25;40;9,5065;13,7222;35,139;9,44479;13,7367;34,9748;54,7194;51,1434;25,1102;1026,29;33,8647;3608,9
T2s50_10SH;60;LPG100;Propan;10;0;50;4,72075;17,1945;10,0347;4,74132;17,2038;10,6002;74,3115;67,7297;27,3492;1643,22;16,4516;3608,9
T2s50_10SH;60;LPG100;Propan;10;5;50;5,502;17,1945;15,0347;5,49214;17,19;16,26;73,0586;67,1166;27,8347;1652,96;18,9005;3608,9
T2s50_10SH;60;LPG100;Propan;10;10;50;6,34575;17,1945;20,0695;6,34577;17,1962;19,9515;69,6603;64,1854;27,7823;1642,93;22,1238;3608,9
T2s50_10SH;60;LPG100;Propan;10;15;50;7,3145;17,1945;25,0695;7,27;17,2144;26,1087;68,7849;63,3767;27,7379;1611,35;25,2562;3608,9
T2s50_10SH;60;LPG100;Propan;10;20;50;8,3165;17,1945;30,0695;8,38018;17,2262;29,9395;66,4402;61,6336;27,7621;1545,58;29,5403;3608,9
T2s50_10SH;60;LPG100;Propan;10;25;50;9,504;17,1945;35,139;9,35432;17,2073;35,7038;65,6828;60,9168;27,8199;1467,96;33,0233;3608,9
T2s60_10SH;60;LPG100;Propan;10;0;60;4,736;21,1945;10,0347;4,71028;21,268;10,2428;84,6276;77,4386;28,5408;1885,59;15,8592;3608,9
T2s60_10SH;60;LPG100;Propan;10;5;60;5,51725;21,1945;15,0347;5,48294;21,2279;14,5305;81,787;75,3122;29,0013;1918,58;18,7327;3608,9
T2s60_10SH;60;LPG100;Propan;10;10;60;6,361;21,1945;20,0695;6,35099;21,2144;20,793;80,3434;74,2362;28,8952;1940,36;21,8274;3608,9
