LPG100/LPG68;R290 (Propan);in Pa;in ℃;in Pa;in ℃;in ℃;in ℃;in kg/s;in W;in 1/min;in mPas
Ölbezeichnung;Kältemittel;P1_mean;T1_mean;P2_mean;Tamb_mean;T2_mean;T7_mean;suction_mf_mean;Pel_mean;N;dyn_viscosity_mean
LPG100;R290;6,32987;20,2417;13,7394;25,055;61,3731;56,5295;29,9503;1871,1;4817,79;
LPG100;R290;7,26377;25,1282;13,7214;25,0298;59,3355;54,8204;34,5966;1787,8;4817,79;
LPG100;R290;8,30886;29,0392;13,6991;24,7875;57,0007;53,1127;40,1136;1664,95;4817,79;
LPG100;R290;4,7205;9,07745;17,2079;26,5473;75,0928;68,7022;22,0642;2264,74;4817,79;
LPG100;R290;5,47259;16,2862;17,2268;26,8795;75,7829;69,2105;25,3687;2282,8;4817,79;
LPG100;R290;6,34585;19,5571;17,2405;26,8511;70,9824;65,3395;29,8207;2265,27;4817,79;
LPG100;R290;7,28354;25,3682;17,1375;26,7534;69,8868;64,4434;34,2906;2219,22;4817,79;
LPG100;R290;8,31937;30,4002;17,1673;26,5909;68,0596;63,0642;39,5053;2151,22;4817,79;
LPG100;R290;9,36279;36,0167;17,2001;26,5056;67,9245;63,1167;44,6675;2056,61;4817,79;
LPG100;R290;4,75607;9,51093;21,1613;29,4437;86,2587;78,7231;21,792;2550,49;4817,79;
LPG100;R290;5,51072;13,9907;21,1416;30,0102;82,7318;76,3162;25,6347;2611,09;4817,79;
LPG100;R290;6,37588;20,1941;21,1668;29,9426;82,0592;75,6178;29,7653;2648,69;4817,79;
LPG100;R290;7,29205;25,232;21,1671;30,58;79,7881;73,8809;34,501;2651,84;4817,79;
LPG100;R290;8,3347;30,5281;21,2015;30,3452;78,2774;72,6815;39,7976;2645,56;4817,79;
LPG100;R290;9,52161;35,3099;21,2233;30,3637;76,6691;71,7117;46,1148;2596,86;4817,79;
LPG100;R290;4,75925;21,0713;17,2141;28,0081;86,0592;77,6606;21,0964;2267,03;4817,79;
LPG100;R290;6,32246;30,7398;17,2426;28,2124;81,3402;74,3441;28,3216;2266;4817,79;
LPG100;R290;4,72948;19,0151;21,231;30,5687;94,7042;86,255;20,819;2553,94;4817,79;
LPG100;R290;6,35343;28,8418;21,1487;30,9667;89,2888;81,7663;28,4468;2649,14;4817,79;
LPG100;R290;4,73828;30,1167;17,2032;29,8159;94,2124;85,2888;20,3382;2262,98;4817,79;
LPG100;R290;4,73486;29,2171;21,1473;31,7511;103,296;93,2562;20,2168;2564,79;4817,79;
LPG100;R290;6,35495;39,6597;21,153;32,0659;99,6093;91,2035;27,1087;2664,96;4817,79;
;;;;;;;;;;;
LPG100;R290;4,74355;10,1387;10,8021;22,0432;56,8051;51,8583;25,5635;1925,57;5393,79;
LPG100;R290;5,45265;14,0522;10,7693;21,9662;53,7445;49,1964;29,5985;1860,16;5393,79;
LPG100;R290;6,35897;19,4737;10,7926;21,7523;51,2083;47,0918;34,6683;1750,52;5393,79;
LPG100;R290;6,3546;19,7303;13,7275;25,0837;61,5797;56,5557;34,6138;2192,68;5393,79;
LPG100;R290;7,21882;25,0093;13,7042;25,0436;60,3533;55,6299;39,202;2103,84;5393,79;
LPG100;R290;4,72109;10,8707;17,2267;27,883;77,8922;70,2841;25,0611;2606,26;5393,79;
LPG100;R290;6,34544;19,4297;17,1437;27,711;71,4618;65,4589;34,103;2617,56;5393,79;
LPG100;R290;9,40249;33,42;17,1272;26,4484;65,8669;61,7033;52,2375;2399,52;5393,79;
LPG100;R290;4,75342;9,28532;21,1497;30,0239;86,2323;78,7713;25,2702;2937,15;5393,79;
LPG100;R290;5,50743;14,3752;21,1653;30,1693;83,7292;77,2264;29,5117;3002,7;5393,79;
LPG100;R290;6,35247;19,6458;21,1866;30,7534;82,0295;75,7815;34,2442;3048,94;5393,79;
LPG100;R290;7,2692;26,5464;21,2212;30,5693;82,0128;75,7171;39,0446;3078,59;5393,79;
LPG100;R290;8,33401;29,5767;21,2365;29,7114;78,1792;73,1583;46,0324;3063,95;5393,79;
LPG100;R290;9,40054;36,3857;21,1469;29,7867;78,858;73,2529;51,8689;3019,58;5393,79;
LPG100;R290;4,75191;19,6153;17,2216;28,5766;86,0147;77,2238;24,1732;2602,41;5393,79;
LPG100;R290;6,2448;31,5965;17,1352;29,1774;84,3805;76,7385;31,4538;2619,09;5393,79;
LPG100;R290;4,76006;19,8439;21,1406;31,6882;95,8753;85,7286;23,9906;2918,16;5393,79;
LPG100;R290;6,30582;31,5339;21,1828;32,0163;93,7623;85,6086;31,6229;3045,83;5393,79;
LPG100;R290;4,78975;31,0399;17,2112;30,1653;95,8957;86,1662;23,1254;2585,07;5393,79;
LPG100;R290;4,76767;30,0357;21,1385;31,8333;104,949;95,0406;22,8314;2900,89;5393,79;
LPG100;R290;6,35051;39,1287;21,1631;32,8172;99,2252;90,3243;30,8374;3031,99;5393,79;
;;;;;;;;;;;
LPG100;R290;4,75419;10,2073;13,702;25,839;68,1443;61,6148;28,7328;2613,54;6001,79;
LPG100;R290;5,47;15,0447;13,7246;27,1182;65,6441;59,8394;33,1304;2585,28;6001,79;
LPG100;R290;5,47901;14,1194;17,1445;27,733;74,2868;67,792;33,3719;2993,7;6001,79;
LPG100;R290;7,24272;24,9143;17,2056;27,7102;70,966;65,441;44,3238;2966,71;6001,79;
LPG100;R290;8,25775;29,1493;17,1436;27,6432;68,4916;63,7347;51,444;2899,24;6001,79;
;;;;;;;;;;;
LPG68;R290;4,77135;9,67378;10,6935;21,6035;51,1384;46,3812;17,4099;1122,57;3608,9;16,1095
LPG68;R290;5,48988;15,5366;10,719;21,7056;49,2062;44,6614;19,4407;1069,86;3608,9;15,8493
LPG68;R290;6,30289;19,686;10,679;21,9615;47,6153;43,676;22,4671;992,239;3608,9;15,6394
;;;;;;;;;;;
LPG68;R290;4,73131;10,5796;13,69;23,7957;62,327;56,6952;16,3785;1371,86;3608,9;9,48185
LPG68;R290;5,55022;14,8254;13,9246;17,8992;59,6836;54,3294;19,586;1373,44;3608,9;8,46628
