gen,best_err_so_far,Ua_suc_ref,Ua_dis_ref,Ua_amb,A_tot,A_dis,V_IC,alpha_loss,W_dot_loss_ref,alpha_fric_tot,m_dot_oil_ref,Ua_suc_oil_ref
10,0.2650328650293289,40.47793984837345,12.36535720867311,1.3465971027057564,3.318377103826745e-07,2.7891784934058046e-05,2.8673302047331365e-05,0.29106093952258055,41.78916082983425,984.2816716886201,5.258800070592566e-05,15.922556224623936
20,0.23146258606859427,37.308076171132996,11.375547771676784,2.227499485354181,3.903652683984074e-07,0.0006125754139482593,2.7980462420749912e-05,0.29106093952258055,62.64007981496602,745.9564246836208,9.303440596272487e-05,20.45360149682062
30,0.2213709155411812,37.308076171132996,11.375547771676784,1.987697345825101,2.8743234536628787e-07,0.00012261133362417585,2.7980462420749912e-05,0.29106093952258055,50.52382906608679,1088.5208755382923,0.00021669212166294997,14.301331311903116
40,0.2213709155411812,37.308076171132996,11.375547771676784,1.987697345825101,2.8743234536628787e-07,0.00012261133362417585,2.7980462420749912e-05,0.29106093952258055,50.52382906608679,1088.5208755382923,0.00021669212166294997,14.301331311903116
50,0.2213709155411812,37.308076171132996,11.375547771676784,1.987697345825101,2.8743234536628787e-07,0.00012261133362417585,2.7980462420749912e-05,0.29106093952258055,50.52382906608679,1088.5208755382923,0.00021669212166294997,14.301331311903116
60,0.2213709155411812,37.308076171132996,11.375547771676784,1.987697345825101,2.8743234536628787e-07,0.00012261133362417585,2.7980462420749912e-05,0.29106093952258055,50.52382906608679,1088.5208755382923,0.00021669212166294997,14.301331311903116
70,0.22092789291217577,37.308076171132996,11.375547771676784,1.987697345825101,2.8743234536628787e-07,0.00012261133362417585,2.818644303411752e-05,0.2922620360004817,50.52382906608679,1088.5208755382923,0.00012032983529706702,14.86779740589927
80,0.2195076229216939,37.72499314641527,11.375547771676784,1.5338510166049713,3.903652683984074e-07,0.000878696209772512,2.7980462420749912e-05,0.29106093952258055,62.64007981496602,951.5672191505046,0.00018397457742050962,7.995559286024113
90,0.2195076229216939,37.72499314641527,11.375547771676784,1.5338510166049713,3.903652683984074e-07,0.000878696209772512,2.7980462420749912e-05,0.29106093952258055,62.64007981496602,951.5672191505046,0.00018397457742050962,7.995559286024113
100,0.21882478608894387,37.308076171132996,11.375547771676784,2.4770923873822532,2.8743234536628787e-07,0.00012261133362417585,2.818644303411752e-05,0.29106093952258055,42.70585167945422,1088.5208755382923,0.00012032983529706702,14.86779740589927
110,0.2177039992197956,37.308076171132996,11.375547771676784,2.7241332122767856,2.854296175487843e-07,0.00031302439371115137,2.7980462420749912e-05,0.2922620360004817,57.13292046900621,970.8311213266165,0.00021669212166294997,27.393225637680484
120,0.2177039992197956,37.308076171132996,11.375547771676784,2.7241332122767856,2.854296175487843e-07,0.00031302439371115137,2.7980462420749912e-05,0.2922620360004817,57.13292046900621,970.8311213266165,0.00021669212166294997,27.393225637680484
