gen,best_err_so_far,Ua_suc_ref,Ua_dis_ref,Ua_amb,A_tot,A_dis,V_IC,alpha_loss,W_dot_loss_ref
10,0.15463313555896088,10.879397226176128,11.268667873516774,0.36,1.5841476529520598e-08,7.171476944609612e-05,3.07e-05,0.16,83.0
20,0.14914101188997947,10.879397226176128,11.035406520368321,0.36,6.533405212556837e-08,9.263405023976486e-06,3.07e-05,0.16,83.0
30,0.13081721142221506,49.022832926701994,5.822029638019326,1.4022660713489765,5.540620256959223e-09,4.389381872948735e-06,3.07e-05,0.16,83.0
40,0.13081721142221506,49.022832926701994,5.822029638019326,1.4022660713489765,5.540620256959223e-09,4.389381872948735e-06,3.07e-05,0.16,83.0
50,0.13081721142221506,49.022832926701994,5.822029638019326,1.4022660713489765,5.540620256959223e-09,4.389381872948735e-06,3.07e-05,0.16,83.0
