gen,best_err_so_far,Ua_suc_ref,Ua_dis_ref,Ua_amb,A_tot,A_dis,V_IC,alpha_loss,W_dot_loss_ref
10,0.027016836880321825,51.84661327009659,6.109536322602114,1.9875237814246847,1.0275333361625875e-08,1.8235149596862276e-05,3.07e-05,0.10898891968134233,106.1770609056343
20,0.024137642651083382,51.84661327009659,6.109536322602114,1.9875237814246847,1.0275333361625875e-08,9.589167743444531e-05,3.07e-05,0.10898891968134233,119.15379566979568
30,0.02268742833286419,47.57282296058902,4.840857335482945,1.1547813244044052,9.981555995564043e-08,0.00031001632635262644,3.07e-05,0.10898891968134233,106.1770609056343
40,0.02150039030855052,47.57282296058902,5.180233064571151,2.893397950668698,1.0361495686994801e-07,0.00031001632635262644,3.07e-05,0.1289530509586309,106.1770609056343
50,0.02121594356026334,47.57282296058902,5.417274481302864,2.893397950668698,1.0361495686994801e-07,0.00031001632635262644,3.07e-05,0.1289530509586309,106.1770609056343
60,0.021035035286684645,54.578267643746806,5.180233064571151,0.6532772620207111,9.981555995564043e-08,0.00031001632635262644,3.07e-05,0.1261902954353658,106.1770609056343
70,0.02055568402179119,54.578267643746806,5.417274481302864,1.7772888519140553,9.981555995564043e-08,0.00031001632635262644,3.07e-05,0.11705764780163574,106.1770609056343
80,0.0186363089569766,54.578267643746806,5.180233064571151,0.37727480476301867,9.981555995564043e-08,0.0004762884528860908,3.07e-05,0.18087916035020526,69.21599246483675
90,0.016837245920677413,52.1907346129198,5.417274481302864,0.7258607882093305,8.395489042512137e-09,0.0004762884528860908,3.07e-05,0.18801127392243866,106.1770609056343
100,0.016837245920677413,52.1907346129198,5.417274481302864,0.7258607882093305,8.395489042512137e-09,0.0004762884528860908,3.07e-05,0.18801127392243866,106.1770609056343
110,0.016772768895339185,54.7932743812948,5.180233064571151,1.2742211960468468,9.981555995564043e-08,0.0004762884528860908,3.07e-05,0.20453361285882393,57.65907991052074
120,0.016772768895339185,54.7932743812948,5.180233064571151,1.2742211960468468,9.981555995564043e-08,0.0004762884528860908,3.07e-05,0.20453361285882393,57.65907991052074
130,0.016772768895339185,54.7932743812948,5.180233064571151,1.2742211960468468,9.981555995564043e-08,0.0004762884528860908,3.07e-05,0.20453361285882393,57.65907991052074
140,0.016772768895339185,54.7932743812948,5.180233064571151,1.2742211960468468,9.981555995564043e-08,0.0004762884528860908,3.07e-05,0.20453361285882393,57.65907991052074
150,0.016772768895339185,54.7932743812948,5.180233064571151,1.2742211960468468,9.981555995564043e-08,0.0004762884528860908,3.07e-05,0.20453361285882393,57.65907991052074
160,0.016772768895339185,54.7932743812948,5.180233064571151,1.2742211960468468,9.981555995564043e-08,0.0004762884528860908,3.07e-05,0.20453361285882393,57.65907991052074
170,0.016772768895339185,54.7932743812948,5.180233064571151,1.2742211960468468,9.981555995564043e-08,0.0004762884528860908,3.07e-05,0.20453361285882393,57.65907991052074
180,0.016772768895339185,54.7932743812948,5.180233064571151,1.2742211960468468,9.981555995564043e-08,0.0004762884528860908,3.07e-05,0.20453361285882393,57.65907991052074
190,0.016772768895339185,54.7932743812948,5.180233064571151,1.2742211960468468,9.981555995564043e-08,0.0004762884528860908,3.07e-05,0.20453361285882393,57.65907991052074
200,0.013280214540615181,52.1907346129198,5.417274481302864,0.3458378213958533,8.395489042512137e-09,0.0004762884528860908,3.07e-05,0.18801127392243866,106.1770609056343
