gen,best_err_so_far,Ua_suc_ref,Ua_dis_ref,Ua_amb,A_tot,A_dis,V_IC,alpha_loss,W_dot_loss_ref
10,0.02269986302693603,18.5551772955042,6.715121883981125,0.20726620448829342,1.30430081359312e-07,0.00044239063847648297,3.07e-05,0.16,83.0
20,0.019516943203659688,46.10711499487657,6.715121883981125,0.20726620448829342,2.256491418528519e-08,0.00044239063847648297,3.07e-05,0.16,83.0
30,0.019516943203659688,46.10711499487657,6.715121883981125,0.20726620448829342,2.256491418528519e-08,0.00044239063847648297,3.07e-05,0.16,83.0
40,0.019516943203659688,46.10711499487657,6.715121883981125,0.20726620448829342,2.256491418528519e-08,0.00044239063847648297,3.07e-05,0.16,83.0
50,0.019468489389692766,38.14190172094913,5.217941588676937,2.136522256828749,1.30430081359312e-07,0.00047836467403203836,3.07e-05,0.16,83.0
60,0.019468489389692766,38.14190172094913,5.217941588676937,2.136522256828749,1.30430081359312e-07,0.00047836467403203836,3.07e-05,0.16,83.0
70,0.019468489389692766,38.14190172094913,5.217941588676937,2.136522256828749,1.30430081359312e-07,0.00047836467403203836,3.07e-05,0.16,83.0
80,0.019468489389692766,38.14190172094913,5.217941588676937,2.136522256828749,1.30430081359312e-07,0.00047836467403203836,3.07e-05,0.16,83.0
90,0.01680474088606398,42.21697815875746,5.217941588676937,2.136522256828749,1.30430081359312e-07,0.00047836467403203836,3.07e-05,0.16,83.0
100,0.01680474088606398,42.21697815875746,5.217941588676937,2.136522256828749,1.30430081359312e-07,0.00047836467403203836,3.07e-05,0.16,83.0
