gen,best_err_so_far,Ua_suc_ref,Ua_dis_ref,Ua_amb,A_tot,A_dis,V_IC,alpha_loss,W_dot_loss_ref
10,0.02434441627136268,38.719353124631944,5.851139556944386,0.43849536558962876,4.854004924252251e-08,9.839297675581188e-06,3.07e-05,0.16019048004045053,65.68209952796718
20,0.021924631771823116,49.17434081434328,5.851139556944386,0.19771149239318953,9.981555995564043e-08,9.839297675581188e-06,3.07e-05,0.16019048004045053,79.73111315836641
30,0.02079559747871275,37.45894737175626,5.851139556944386,2.3052778675079444,1.4723917302134583e-08,1.6289111238030726e-06,3.0083874155855337e-05,0.17978263010329748,70.48979364119904
40,0.019830452670086856,46.087369693563254,5.851139556944386,2.336233904402722,9.981555995564043e-08,0.0002702608328675322,3.07e-05,0.16019048004045053,79.39242884254631
50,0.019567551760338035,46.087369693563254,5.851139556944386,2.846708846977328,1.4723917302134583e-08,1.6289111238030726e-06,3.0083874155855337e-05,0.19082485581358496,70.48979364119904
60,0.01868095548586842,49.17434081434328,5.851139556944386,0.5767394726364283,9.000879070063708e-09,2.3790530853240205e-05,3.0083874155855337e-05,0.17978263010329748,74.1796982822534
70,0.01835017845027841,49.17434081434328,5.851139556944386,0.8178670551279509,2.683851440842996e-08,0.0002397719651992572,3.0083874155855337e-05,0.17978263010329748,74.1796982822534
80,0.01835017845027841,49.17434081434328,5.851139556944386,0.8178670551279509,2.683851440842996e-08,0.0002397719651992572,3.0083874155855337e-05,0.17978263010329748,74.1796982822534
90,0.017930919764786172,49.17434081434328,5.851139556944386,2.464105505830409,2.940118956869968e-08,0.0002397719651992572,3.0083874155855337e-05,0.2386390729965902,74.1796982822534
100,0.015660261499637437,49.17434081434328,6.131182837148065,0.8178670551279509,2.683851440842996e-08,0.0002397719651992572,3.0083874155855337e-05,0.17978263010329748,87.67604590529469
