gen,best_err_so_far,Ua_suc_ref,Ua_dis_ref,Ua_amb,A_tot,A_dis,V_IC,alpha_loss,W_dot_loss_ref
10,0.023885338342949876,38.16862921639071,5.9325845623993665,2.40526167626722,1.0502546317959401e-07,5.086154689184875e-05,3.07e-05,0.16,92.56033756048326
20,0.021041722895839072,40.66248700896355,5.9325845623993665,0.8440861287822172,1.30430081359312e-07,0.00036139439842952414,3.07e-05,0.13281551682476828,92.56033756048326
30,0.02086225755027717,40.66248700896355,5.9325845623993665,2.2376463752212645,1.30430081359312e-07,0.00036139439842952414,3.07e-05,0.13132719239601895,92.56033756048326
40,0.020806076641144405,40.66248700896355,5.9325845623993665,1.3062605768745958,1.30430081359312e-07,0.00036139439842952414,3.07e-05,0.13132719239601895,92.56033756048326
50,0.020806076641144405,40.66248700896355,5.9325845623993665,1.3062605768745958,1.30430081359312e-07,0.00036139439842952414,3.07e-05,0.13132719239601895,92.56033756048326
60,0.019747829203207383,40.66248700896355,5.9325845623993665,0.8797310030778324,1.30430081359312e-07,0.00036139439842952414,3.07e-05,0.13281551682476828,92.56033756048326
70,0.019747829203207383,40.66248700896355,5.9325845623993665,0.8797310030778324,1.30430081359312e-07,0.00036139439842952414,3.07e-05,0.13281551682476828,92.56033756048326
80,0.019747829203207383,40.66248700896355,5.9325845623993665,0.8797310030778324,1.30430081359312e-07,0.00036139439842952414,3.07e-05,0.13281551682476828,92.56033756048326
90,0.019747829203207383,40.66248700896355,5.9325845623993665,0.8797310030778324,1.30430081359312e-07,0.00036139439842952414,3.07e-05,0.13281551682476828,92.56033756048326
100,0.019747829203207383,40.66248700896355,5.9325845623993665,0.8797310030778324,1.30430081359312e-07,0.00036139439842952414,3.07e-05,0.13281551682476828,92.56033756048326
