param,p_base,p_plus,p_minus,g_base,g_plus,g_minus,g_plus_norm,g_minus_norm,fail_base,fail_plus,fail_minus,n_total,fail_rate_base,fail_rate_plus,fail_rate_minus
Ua_suc_ref,16.049960857805193,24.07494128670779,8.024980428902596,0.00458426569661337,0.00479914866960949,0.0042394999842407365,1.0468740224099282,0.9247936888502494,0,0,0,18,0.0,0.0,0.0
Ua_dis_ref,13.95997659631916,20.93996489447874,6.97998829815958,0.00458426569661337,0.004660829930004319,0.004263251986271317,1.0167015261457273,0.9299748898543987,0,0,0,18,0.0,0.0,0.0
Ua_amb,0.3600019216845608,0.5400028825268413,0.1800009608422804,0.00458426569661337,0.004926976579127539,0.004592819790567218,1.0747580758173216,1.0018659681877007,0,0,0,18,0.0,0.0,0.0
A_tot,8.510994227636072e-09,1.2766491341454108e-08,4.255497113818036e-09,0.00458426569661337,0.004582615913773443,0.004597080825416409,0.9996401205887465,1.0027954594369402,0,0,0,18,0.0,0.0,0.0
A_dis,4.984796593356619e-08,7.477194890034928e-08,2.4923982966783093e-08,0.00458426569661337,0.004572271707014277,0.004950180413749412,0.9973836617698766,1.0798197009842518,0,0,0,18,0.0,0.0,0.0
V_IC,2.8604014178432848e-05,4.2906021267649275e-05,1.4302007089216424e-05,0.00458426569661337,0.15389290890255747,0.26651017240999164,33.56980574146171,58.13584771207224,0,0,0,18,0.0,0.0,0.0
alpha_loss,0.15999616221491,0.23999424332236502,0.079998081107455,0.00458426569661337,0.0019095691145719143,0.010738967744219218,0.41654852509587525,2.342570970995996,0,0,0,18,0.0,0.0,0.0
W_dot_loss_ref,82.99955282849608,124.49932924274412,41.49977641424804,0.00458426569661337,0.0026210688949276145,0.00758012924126948,0.5717532683290873,1.6535100151087025,0,0,0,18,0.0,0.0,0.0
