gen,best_err_so_far,Ua_suc_ref,Ua_dis_ref,Ua_amb,A_tot,A_dis,V_IC,alpha_loss,W_dot_loss_ref,alpha_fric_tot
10,0.09314013904737835,41.777085746103516,4.6065579339572125,0.400236672956106,3.432959181044085e-09,1.5077404078698099e-05,3.0078879424269767e-05,0.2261000807664932,58.920458593013436,566.0351621677421
20,0.07539330363990036,41.777085746103516,5.214293807138695,2.647079622400924,3.429238312772017e-09,6.434130585168924e-05,3.0078879424269767e-05,0.2261000807664932,53.118393183583095,815.7933831334337
30,0.07219483136958425,41.777085746103516,4.953396514229144,2.8740021656560826,4.0344543070656056e-09,1.5077404078698099e-05,3.0078879424269767e-05,0.2261000807664932,58.920458593013436,550.1171609365045
40,0.07219483136958425,41.777085746103516,4.953396514229144,2.8740021656560826,4.0344543070656056e-09,1.5077404078698099e-05,3.0078879424269767e-05,0.2261000807664932,58.920458593013436,550.1171609365045
50,0.07136063542961318,47.40324163212416,5.214293807138695,2.059466455110443,4.6424604671185125e-09,3.308345710184747e-05,2.991607238549017e-05,0.2261000807664932,58.920458593013436,708.2221466570204
60,0.07136063542961318,47.40324163212416,5.214293807138695,2.059466455110443,4.6424604671185125e-09,3.308345710184747e-05,2.991607238549017e-05,0.2261000807664932,58.920458593013436,708.2221466570204
70,0.07136063542961318,47.40324163212416,5.214293807138695,2.059466455110443,4.6424604671185125e-09,3.308345710184747e-05,2.991607238549017e-05,0.2261000807664932,58.920458593013436,708.2221466570204
80,0.07136063542961318,47.40324163212416,5.214293807138695,2.059466455110443,4.6424604671185125e-09,3.308345710184747e-05,2.991607238549017e-05,0.2261000807664932,58.920458593013436,708.2221466570204
90,0.07136063542961318,47.40324163212416,5.214293807138695,2.059466455110443,4.6424604671185125e-09,3.308345710184747e-05,2.991607238549017e-05,0.2261000807664932,58.920458593013436,708.2221466570204
100,0.07136063542961318,47.40324163212416,5.214293807138695,2.059466455110443,4.6424604671185125e-09,3.308345710184747e-05,2.991607238549017e-05,0.2261000807664932,58.920458593013436,708.2221466570204
110,0.07136063542961318,47.40324163212416,5.214293807138695,2.059466455110443,4.6424604671185125e-09,3.308345710184747e-05,2.991607238549017e-05,0.2261000807664932,58.920458593013436,708.2221466570204
120,0.07136063542961318,47.40324163212416,5.214293807138695,2.059466455110443,4.6424604671185125e-09,3.308345710184747e-05,2.991607238549017e-05,0.2261000807664932,58.920458593013436,708.2221466570204
130,0.07136063542961318,47.40324163212416,5.214293807138695,2.059466455110443,4.6424604671185125e-09,3.308345710184747e-05,2.991607238549017e-05,0.2261000807664932,58.920458593013436,708.2221466570204
140,0.07136063542961318,47.40324163212416,5.214293807138695,2.059466455110443,4.6424604671185125e-09,3.308345710184747e-05,2.991607238549017e-05,0.2261000807664932,58.920458593013436,708.2221466570204
150,0.07136063542961318,47.40324163212416,5.214293807138695,2.059466455110443,4.6424604671185125e-09,3.308345710184747e-05,2.991607238549017e-05,0.2261000807664932,58.920458593013436,708.2221466570204
160,0.07136063542961318,47.40324163212416,5.214293807138695,2.059466455110443,4.6424604671185125e-09,3.308345710184747e-05,2.991607238549017e-05,0.2261000807664932,58.920458593013436,708.2221466570204
170,0.07136063542961318,47.40324163212416,5.214293807138695,2.059466455110443,4.6424604671185125e-09,3.308345710184747e-05,2.991607238549017e-05,0.2261000807664932,58.920458593013436,708.2221466570204
180,0.07136063542961318,47.40324163212416,5.214293807138695,2.059466455110443,4.6424604671185125e-09,3.308345710184747e-05,2.991607238549017e-05,0.2261000807664932,58.920458593013436,708.2221466570204
190,0.07118632144977731,41.777085746103516,4.953396514229144,2.8269219109412296,4.452238529909717e-09,2.6116289950969625e-05,3.0133040192115855e-05,0.2261000807664932,51.10331004068127,784.0336074558043
200,0.07118632144977731,41.777085746103516,4.953396514229144,2.8269219109412296,4.452238529909717e-09,2.6116289950969625e-05,3.0133040192115855e-05,0.2261000807664932,51.10331004068127,784.0336074558043
210,0.07118632144977731,41.777085746103516,4.953396514229144,2.8269219109412296,4.452238529909717e-09,2.6116289950969625e-05,3.0133040192115855e-05,0.2261000807664932,51.10331004068127,784.0336074558043
220,0.07118632144977731,41.777085746103516,4.953396514229144,2.8269219109412296,4.452238529909717e-09,2.6116289950969625e-05,3.0133040192115855e-05,0.2261000807664932,51.10331004068127,784.0336074558043
230,0.07118632144977731,41.777085746103516,4.953396514229144,2.8269219109412296,4.452238529909717e-09,2.6116289950969625e-05,3.0133040192115855e-05,0.2261000807664932,51.10331004068127,784.0336074558043
240,0.07027530181250106,41.777085746103516,4.953396514229144,2.9746894434047166,4.0344543070656056e-09,7.644064514776362e-06,2.988389925556492e-05,0.2261000807664932,53.118393183583095,785.830610761288
250,0.07027530181250106,41.777085746103516,4.953396514229144,2.9746894434047166,4.0344543070656056e-09,7.644064514776362e-06,2.988389925556492e-05,0.2261000807664932,53.118393183583095,785.830610761288
