gen,best_err_so_far,Ua_suc_ref,Ua_dis_ref,Ua_amb,A_tot,A_dis,V_IC,alpha_loss,W_dot_loss_ref,alpha_fric_tot
10,0.1521001419756028,46.29646421939551,6.072461436012952,2.2265225512422715,2.5781281216316257e-09,1.1541288553214477e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,898.3497098119512
20,0.1499504611446302,42.91557562896281,5.214293807138695,2.8256395492491517,2.5781281216316257e-09,2.525126372288246e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,898.3497098119512
30,0.145673210529509,46.29646421939551,5.214293807138695,2.9587720210163497,4.836387868895753e-09,1.4206522479080619e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,871.2966804497642
40,0.145673210529509,46.29646421939551,5.214293807138695,2.9587720210163497,4.836387868895753e-09,1.4206522479080619e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,871.2966804497642
50,0.145673210529509,46.29646421939551,5.214293807138695,2.9587720210163497,4.836387868895753e-09,1.4206522479080619e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,871.2966804497642
60,0.14268287836096444,46.29646421939551,5.214293807138695,2.9587720210163497,4.836387868895753e-09,2.738361614982002e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,871.2966804497642
70,0.14268287836096444,46.29646421939551,5.214293807138695,2.9587720210163497,4.836387868895753e-09,2.738361614982002e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,871.2966804497642
80,0.14268287836096444,46.29646421939551,5.214293807138695,2.9587720210163497,4.836387868895753e-09,2.738361614982002e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,871.2966804497642
90,0.14268287836096444,46.29646421939551,5.214293807138695,2.9587720210163497,4.836387868895753e-09,2.738361614982002e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,871.2966804497642
100,0.14268287836096444,46.29646421939551,5.214293807138695,2.9587720210163497,4.836387868895753e-09,2.738361614982002e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,871.2966804497642
110,0.14268287836096444,46.29646421939551,5.214293807138695,2.9587720210163497,4.836387868895753e-09,2.738361614982002e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,871.2966804497642
120,0.14268287836096444,46.29646421939551,5.214293807138695,2.9587720210163497,4.836387868895753e-09,2.738361614982002e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,871.2966804497642
130,0.14268287836096444,46.29646421939551,5.214293807138695,2.9587720210163497,4.836387868895753e-09,2.738361614982002e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,871.2966804497642
140,0.14268287836096444,46.29646421939551,5.214293807138695,2.9587720210163497,4.836387868895753e-09,2.738361614982002e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,871.2966804497642
150,0.14268287836096444,46.29646421939551,5.214293807138695,2.9587720210163497,4.836387868895753e-09,2.738361614982002e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,871.2966804497642
160,0.14268287836096444,46.29646421939551,5.214293807138695,2.9587720210163497,4.836387868895753e-09,2.738361614982002e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,871.2966804497642
170,0.14268287836096444,46.29646421939551,5.214293807138695,2.9587720210163497,4.836387868895753e-09,2.738361614982002e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,871.2966804497642
180,0.14268287836096444,46.29646421939551,5.214293807138695,2.9587720210163497,4.836387868895753e-09,2.738361614982002e-05,2.997556725960554e-05,0.2177744912099845,49.5938442034405,871.2966804497642
190,0.14215442878654597,46.29646421939551,5.214293807138695,2.9587720210163497,4.313467389924061e-09,9.489499068003725e-06,2.997556725960554e-05,0.2177744912099845,49.5938442034405,855.9079934826983
200,0.14215442878654597,46.29646421939551,5.214293807138695,2.9587720210163497,4.313467389924061e-09,9.489499068003725e-06,2.997556725960554e-05,0.2177744912099845,49.5938442034405,855.9079934826983
210,0.14215442878654597,46.29646421939551,5.214293807138695,2.9587720210163497,4.313467389924061e-09,9.489499068003725e-06,2.997556725960554e-05,0.2177744912099845,49.5938442034405,855.9079934826983
220,0.14215442878654597,46.29646421939551,5.214293807138695,2.9587720210163497,4.313467389924061e-09,9.489499068003725e-06,2.997556725960554e-05,0.2177744912099845,49.5938442034405,855.9079934826983
230,0.14215442878654597,46.29646421939551,5.214293807138695,2.9587720210163497,4.313467389924061e-09,9.489499068003725e-06,2.997556725960554e-05,0.2177744912099845,49.5938442034405,855.9079934826983
240,0.14215442878654597,46.29646421939551,5.214293807138695,2.9587720210163497,4.313467389924061e-09,9.489499068003725e-06,2.997556725960554e-05,0.2177744912099845,49.5938442034405,855.9079934826983
250,0.14215442878654597,46.29646421939551,5.214293807138695,2.9587720210163497,4.313467389924061e-09,9.489499068003725e-06,2.997556725960554e-05,0.2177744912099845,49.5938442034405,855.9079934826983
